"Proportion of borough residents' jobs that are paid below London Living Wage (2024)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Borough","Percentage of low-paid jobs (2008)","Percentage of low-paid jobs (2009)","Percentage of low-paid jobs (2010)","Percentage of low-paid jobs (2011)","Percentage of low-paid jobs (2012)","Percentage of low-paid jobs (2013)","Percentage of low-paid jobs (2014)","Percentage of low-paid jobs (2015)","Percentage of low-paid jobs (2016)","Percentage of low-paid jobs (2017)","Percentage of low-paid jobs (2018)","Percentage of low-paid jobs (2019)","Percentage of low-paid jobs (2020)","Percentage of low-paid jobs (2021)","Percentage of low-paid jobs (2022)","Percentage of low-paid jobs (2023)","Percentage of low-paid jobs (2024)","Number of low-paid jobs (2008)","Number of low-paid jobs (2009)","Number of low-paid jobs (2010)","Number of low-paid jobs (2011)","Number of low-paid jobs (2012)","Number of low-paid jobs (2013)","Number of low-paid jobs (2014)","Number of low-paid jobs (2015)","Number of low-paid jobs (2016)","Number of low-paid jobs (2017)","Number of low-paid jobs (2018)","Number of low-paid jobs (2019)","Number of low-paid jobs (2020)","Number of low-paid jobs (2021)","Number of low-paid jobs (2022)","Number of low-paid jobs (2023)","Number of low-paid jobs (2024)"
"Kingston upon Thames","10","10.8","9.5","9.8","11.9","15.3","16.4","16.9","18.2","20.7","20.2","18.4","17.1","18.6","17.9","14.2","18.8","6682","6774","5812","6252","7604","9943","11012","11330","12402","13839","13122","12715","12302","13598","12556","9688","12206"
"Lambeth","16.3","15.2","12.8","17.1","16.1","18.8","21.2","19","19.7","16.6","19.8","20","17.3","14.7","11.8","10.1","10.6","18798","16424","14326","20208","18178","23102","27805","24890","26440","23690","27940","28800","22980","19758","16136","14184","14258"
"Lewisham","16.8","15.6","13.8","18.9","17.5","19.1","22","22","20.4","21.3","21.3","22.6","21","20.2","15.6","16.1","17.3","16501","13094","13409","19456","17518","20791","24653","23803","24938","26174","26880","28018","23769","23224","18550","19978","22872"
"London","13.5","13.7","13.9","16.1","18.4","19.5","21.4","22.1","21.1","20.8","22","21.6","21.2","19","16.2","15.7","17.5","388290","384050","400835","469429","531752","596868","666390","702205","681868","688236","733316","734807","677840","617964","525412","516554","605420"
"Merton","9.9","13.7","13","13.8","16.2","18.3","18.2","20.8","17.7","20","21","21.2","21.2","19.3","20","12.9","13","7758","10665","10682","11177","13432","15199","15068","18555","15742","18200","19516","19690","17556","15994","17000","11332","11687"
"Newham","22.4","23.9","25.1","32.3","34.6","35","35.2","36.2","34.8","31.5","31.6","30.1","26.3","22","21.3","19.5","23.5","18617","19820","21575","31009","33883","35743","35908","37607","37952","35927","36032","36069","29195","25504","27200","23400","34272"
"Redbridge","9.8","13.4","14.4","15.1","19.8","20.1","20.6","20","19.3","20.9","23.8","23.6","23.3","22.4","20.5","19.3","22.6","8319","11098","12410","13776","17659","18453","18738","17800","18560","19222","20924","22651","21217","20352","19266","18877","24907"
"Richmond upon Thames","7.6","8","8.7","9.3","9.7","9.8","11.7","13","11","10.5","11.4","12.2","11.1","11.5","10","11.2","13.2","5827","5864","6413","6955","6489","6734","8628","8960","7896","6910","7946","9296","8778","8388","6789","7257","9358"
"Southwark","15.1","17.3","16.7","17.1","19.6","20.9","21.8","21","20.1","17.7","20","18.2","20.2","14.3","13","15.1","11.5","15273","17423","18378","19714","22679","26518","27444","24598","24874","22593","25600","25310","25694","18494","17235","19769","16704"
"Sutton","10.1","11.8","13.1","13.9","14.4","15","19.2","21","20.1","20.9","21.3","22.2","22.4","18.6","18","16.9","16.4","7591","8867","9680","10321","10936","12150","14776","16389","16489","17359","17479","17734","16776","16217","14184","12653","13797"
"Tower Hamlets","12","13.1","12.4","16.7","17.2","18.4","20","20.7","20","19.6","19.4","16.2","18.7","15.2","12.1","9.9","15.1","10210","11144","10075","15667","15801","18998","21600","22316","22600","24077","24095","22318","22960","18112","15660","13406","20063"
"Waltham Forest","16.5","19.1","18","22","24.3","26.7","27","29.1","26","27.9","29","25.7","22.5","17.4","16.7","16.7","18.2","13986","16418","16340","18515","20867","25867","26414","30217","26217","29807","29897","26756","22069","17014","17384","17167","19091"
"Wandsworth","9.3","8.7","9.2","9.3","9.7","10.2","12.7","13.1","11.5","11.3","11.3","12.3","12.2","11.2","9.9","9.6","9.9","12389","11163","11907","12333","12591","13911","18290","18739","16527","17453","17472","17678","16415","15630","12999","12509","13708"
"Westminster","9.5","11.5","9.5","11.1","12.8","15.3","15.9","15","16.2","13.3","15.3","16.6","13.4","13.1","10","10.7","9.9","7626","7791","6398","7519","7793","9484","11136","10077","11348","9701","11185","11626","8468","9041","6967","8320","7254"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Note: Estimations produced following the methodology used by London Living Wage Foundation, which estimates the percentage of workers earning below the living wage on the basis of the wage decile distribution published in ASHE. The U18 National Minimum Wage is assumed to be the minimum possible wage received.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Data source: Annual Survey of Hours and Earnings, ONS via Nomis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chart source: London's Poverty Profile 2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"London's Poverty Profile is created by charitable funder Trust for London, and economic and public policy consultancy, WPI Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://www.trustforlondon.org.uk/data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
